windowDays,txCount,debitCount,creditCount,totalDebits,totalCredits,avgAmount,stdAmount,activeDays,debitCreditRatio,incomeRegularity,topCategoryShare,monthlyIncome,monthlyDebits,dti,dtiCapped,incomeTrend30_90,netCashflowVolatility,recurringExpenseShare,label
90,97,52,45,3645.612950702932,6393.82642480863,28.332097671192777,135.1529755018769,57,0.5701770282639271,0.14763958937700472,0.26804123711340205,2131.27547493621,1215.2043169009773,0.5701770280855749,0.5701770280855749,0.2610599928238272,2.1393820934770837,1,0
90,95,46,49,3084.8134250069243,6004.11224824801,30.729461297274565,130.71673220327517,55,0.5137834365760374,0,0.2631578947368421,2001.3707494160033,1028.2711416689747,0.5137834364048935,0.5137834364048935,0.3374256037084277,1.7751884978173604,1,0
90,87,45,42,3072.2351140561036,5847.295445520624,31.897245189247357,139.10757880845298,52,0.5254113020549025,0.05410116363311035,0.26436781609195403,1949.0984818402078,1024.0783713520345,0.5254113018751917,0.5254113018751917,0.4244298045910243,1.9547698347451492,1.0000000000000002,0
90,91,42,49,2719.55940782624,6200.852531246573,38.25596838923444,132.07096290107765,47,0.43857830736718745,0.02881326259202155,0.27472527472527475,2066.9508437488576,906.5198026087468,0.4385783072257301,0.4385783072257301,0.2929892006002925,1.3485372882372586,0.9999999999999998,0
90,91,44,47,2881.4941150915806,6767.7676254657035,42.706302311803526,140.11116140603792,52,0.4257672949383412,0.1092722092216607,0.2857142857142857,2255.922541821901,960.4980383638602,0.4257672948125192,0.4257672948125192,0.41360244202785723,1.456126357488639,0.9999999999999999,0
90,88,45,43,3017.478709723846,5401.662023634094,27.092992203525544,132.04366552533097,49,0.5586204201526748,0,0.2727272727272727,1800.5540078780314,1005.8262365746153,0.558620419945842,0.558620419945842,0.4299254560466243,2.3219048930110326,0.9999999999999997,0
90,93,47,46,3129.752053585368,5526.149135104213,25.76771055396612,129.00288285954974,48,0.5663531650164184,0,0.26881720430107525,1842.0497117014045,1043.2506845284558,0.5663531648114463,0.5663531648114463,0.32022952720303,1.9799547448413661,1.0000000000000002,0
90,102,50,52,3609.016917536769,5860.611041434867,22.074452195079363,127.08711489432523,50,0.6158089815899737,0,0.27450980392156865,1953.5370138116223,1203.005639178923,0.6158089813798218,0.6158089813798218,0.3346101723974882,2.247589457605937,1,0
90,91,43,48,2896.5005927299107,6346.571650852397,37.912868770576786,135.7229500650957,50,0.4563882284200633,0.05198358074144638,0.27472527472527475,2115.523883617466,965.5001975766369,0.45638822827624137,0.45638822827624137,0.2739004894364173,1.5414604194494488,1.0000000000000002,0
90,91,43,48,2881.515860443877,5209.087892242376,25.57771463514832,125.44870067058649,57,0.5531709042924765,0,0.2967032967032967,1736.3626307474588,960.5052868146257,0.5531709040800897,0.5531709040800897,0.3397108217370876,2.4310580853971846,0.9999999999999999,0
90,91,49,42,3293.0128023324332,5438.499170655568,23.576773278276224,129.31378283047627,55,0.6055002857212877,0.056403402527735014,0.2967032967032967,1812.8330568851895,1097.670934110811,0.6055002854986158,0.6055002854986158,0.26970255126988724,2.590346626881724,1,0
90,88,44,44,2964.4288822150343,5838.795163445139,32.66325319579667,134.80020837374983,50,0.5077124301716694,0.05490240227744114,0.26136363636363635,1946.2650544817132,988.1429607383448,0.5077124299977595,0.5077124299977595,0.3076483767413524,1.7308310730975827,0.9999999999999999,0
90,85,43,42,2888.2308219960455,4785.4093342618,22.3197472031265,127.06482996021697,53,0.6035493767928708,0,0.2823529411764706,1595.1364447539333,962.7436073320151,0.603549376540625,0.603549376540625,0.3348333985403804,2.7359616180190423,1.0000000000000002,0
