windowDays,txCount,debitCount,creditCount,totalDebits,totalCredits,avgAmount,stdAmount,activeDays,debitCreditRatio,incomeRegularity,topCategoryShare,monthlyIncome,monthlyDebits,dti,dtiCapped,incomeTrend30_90,netCashflowVolatility,recurringExpenseShare,label
90,25,22,3,2105773.706022773,3948826.5714163035,73722.11461574123,479445.8108289334,23,0.5332656848657128,0.8469647258633579,0.76,1316275.5238054346,701924.5686742576,0.5332656848654427,0.5332656848654427,0.4051990161817004,6.195771026343467,0.9478720126480044,0
90,25,22,3,921826.9676775209,4273977.666675681,134086.0279599264,483803.1655896298,24,0.215683618298901,0.8344841573269507,0.76,1424659.2222252272,307275.655892507,0.2156836182988001,0.2156836182988001,0.3835204046736526,3.4626654464843014,0.9494422592088217,0
90,23,20,3,1922795.180982704,8204526.859995123,273118.7686527138,958958.172352672,22,0.23435783851935765,0.9004028351112169,0.8695652173913043,2734842.286665041,640931.7269942347,0.2343578385193006,0.2343578385193006,0.29440909778662117,3.3976048839848345,0.9446471366773183,0
90,21,18,3,820455.8127236619,4165736.24910543,159299.06839913182,514535.07345898997,20,0.19695337478450622,0.7849029297131953,0.8571428571428571,1388578.74970181,273485.2709078873,0.19695337478441166,0.19695337478441166,0.39934344597317384,3.1235556348085196,0.8409724100408118,0
90,26,23,3,3068325.326419451,6003234.916225874,112881.13806947783,703379.8175638923,26,0.5111119869931628,0.9979403616425166,0.7692307692307693,2001078.3054086247,1022775.1088064836,0.5111119869929925,0.5111119869929925,0.3329929651399293,6.231154554135821,0.9536816069864843,0
90,21,18,3,1245432.6107855975,6036960.131331982,228167.9771688755,750164.2051377564,19,0.20630128138855233,0.7659130852175701,0.8571428571428571,2012320.0437773273,415144.20359519916,0.206301281388484,0.206301281388484,0.3711740042235876,3.0630016574786794,0.7886208340131643,0
90,21,18,3,582408.0467375712,2770029.9401155896,104172.47111323898,334651.37289465446,20,0.21025333997402856,0.9757092482223373,0.8571428571428571,923343.3133718632,194136.01557919043,0.21025333997387674,0.21025333997387674,0.32194701848356255,3.0847526482230667,0.9389371345062368,0
90,26,23,3,1406095.2060057637,4375846.919694749,114221.21975726869,519444.1155937217,24,0.3213309861633663,0.6370603008267689,0.7692307692307693,1458615.6398982496,468698.40200192126,0.3213309861632194,0.3213309861632194,0.5026564768592272,4.311203672303937,0.9999999999999999,0
90,22,19,3,2575986.4223325537,11874238.091799296,422647.8031575793,1410820.5886115478,22,0.21693909136885084,0.9151690963273474,0.8636363636363636,3958079.363933099,858662.1407775179,0.2169390913688143,0.2169390913688143,0.296676365353241,3.3380525772712977,0.908711080929163,0
90,23,20,3,277349.38797477563,1373369.0994464,47653.030933548886,161254.32837630762,23,0.20194817845135163,0.8331245591561119,0.8695652173913043,457789.6998154667,92449.79599159188,0.20194817845105753,0.20194817845105753,0.4119991699852993,3.3839259584094314,0.8291341743492169,0
